ID,BMDL,BMD,BMDU,MW,BMD_uM,BMDL_uM,BMDU_uM,BMD_M,BMDL_M,BMDU_M
ID8,6.53541902,35.75658765,108.9233719,231.07,154.7435308,28.28328654,471.386904,1.55E-04,2.83E-05,4.71E-04
ID10,4.21043534,26.50094108,98.4957185,231.07,114.6879347,18.22147115,426.2592223,1.15E-04,1.82E-05,4.26E-04
ID26,4.139807404,13.54480824,37.3387662,314.05,43.12946423,13.18200097,118.8943359,4.31E-05,1.32E-05,1.19E-04
ID28,2.239310578,7.03368568,17.92278232,314.05,22.39670651,7.130426932,57.06983702,2.24E-05,7.13E-06,5.71E-05
ID44,0.148476912,1.691873273,7.089140783,414.07,4.085959556,0.358579255,17.12063367,4.09E-06,3.59E-07,1.71E-05
ID46,0.066723431,0.871254759,3.72209837,414.07,2.104124325,0.161140461,8.989055883,2.10E-06,1.61E-07,8.99E-06
ID74,2.464266691,7.105215917,29.28043116,300.1,23.676161,8.211485141,97.56891423,2.37E-05,8.21E-06,9.76E-05
ID76,1.181463663,2.980416429,11.83531465,300.1,9.93141096,3.93689991,39.43790286,9.93E-06,3.94E-06,3.94E-05
ID110,3.381964675,10.64593084,18.98003433,438.21,24.29413031,7.717680278,43.31264538,2.43E-05,7.72E-06,4.33E-05
ID112,2.132008421,6.73507762,12.25603165,438.21,15.3695206,4.865266474,27.96839791,1.54E-05,4.87E-06,2.80E-05
ID141,0.161266586,1.041263034,18.20889846,464.08,2.243714518,0.347497383,39.23655072,2.24E-06,3.47E-07,3.92E-05
ID143,0.146529663,0.611598301,11.12766077,464.08,1.317872567,0.31574225,23.97789341,1.32E-06,3.16E-07,2.40E-05
ID176,12.51692667,25.71598629,49.08568371,514.08,50.023316,24.34820781,95.48257802,5.00E-05,2.43E-05,9.55E-05
ID178,7.810535878,16.23079806,30.52097646,514.08,31.57251413,15.19323039,59.37009116,3.16E-05,1.52E-05,5.94E-05
ID225,0.0584905,0.605388991,4.903770266,500.13,1.210463262,0.116950593,9.804991235,1.21E-06,1.17E-07,9.80E-06
ID227,0.08133794,0.433017369,2.38736995,500.13,0.865809628,0.162633596,4.773498791,8.66E-07,1.63E-07,4.77E-06
